address,district,area,bedrooms,garage,type,rent,total
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594
